  10.112.65.6      282986-40a427     dynamic H24 
  10.112.65.7      282986-40c1e6     dynamic H23 
  10.112.65.8      282986-40c1eb     dynamic G21 
  10.112.65.10     282986-40a42a     dynamic D18 
  10.112.65.11     282986-665afa     dynamic A7  
  10.112.65.12     282986-665aff     dynamic B2  
  10.112.65.13     282986-8883cf     dynamic G23 
  10.112.65.88     9c934e-a0cf6f     dynamic A3  
  10.112.65.156    1c7d22-4a132a     dynamic A5  
  10.112.66.1      7c0507-0f6ee4     dynamic C1  
  10.112.66.2      7c0507-3b45ea     dynamic C2  
  10.112.67.0      e0a700-03436c     dynamic B2  
  10.112.67.2      e0a700-034367     dynamic B2  
  10.112.67.3      e0a700-122743     dynamic A5  
  10.112.67.4      e0a700-0867e1     dynamic G1  
  10.112.67.6      e0a700-0867e6     dynamic G2  
  10.112.67.7      b49691-c6f67e     dynamic F8  
  10.112.67.16     e0a700-1637c1     dynamic A5  
  10.112.67.22     e0a700-1a4c4c     dynamic G5  
  10.112.67.97     10e7c6-64a13c     dynamic A5  
  10.112.67.167    000275-fa2677     dynamic
  10.112.67.168    e0a700-19933f     dynamic B7  
  10.112.67.173    38f9d3-16a44d     dynamic
  10.112.67.174    000275-fa2813     dynamic
  10.112.67.175    282986-665af9     dynamic G20 
  10.112.67.176    e0a700-2236c0     dynamic A2  
  10.112.67.177    e0a700-125a2a     dynamic A2  
  10.112.67.178    e0a700-2236fc     dynamic A2  
  10.112.67.180    e0a700-22376d     dynamic A2  
  10.112.67.182    e0a700-2237ee     dynamic A7  
  10.112.67.186    e0a700-199a41     dynamic A1  
  10.112.67.187    787b8a-c2ce5c     dynamic
  10.112.67.193    a860b6-3ca862     dynamic A5  
  10.112.67.197    e0a700-2341bb     dynamic A2  
  10.112.67.202    b8ca3a-f65a31     dynamic G13 
  10.112.67.203    b82a72-d1f49d     dynamic G14 
  10.112.67.204    e0a700-19be09     dynamic A5  
  10.112.67.207    e0a700-2236e7     dynamic A3  
  10.112.67.208    787b8a-c2ce78     dynamic
  10.112.67.209    e0a700-22381b     dynamic B2  
  10.112.67.210    e0a700-1259af     dynamic G11 
  10.112.67.212    e0a700-1259c0     dynamic B4  
  10.112.67.214    e0a700-1259df     dynamic B4  
  10.112.67.217    e0a700-2341e2     dynamic B7  
  10.112.67.220    e0a700-1258a4     dynamic B2  
  10.112.67.228    e0a700-19c099     dynamic A3  
  10.112.67.231    e0a700-2237f3     dynamic G7  
  10.112.67.232    e0a700-2236b5     dynamic G8  
  10.112.67.235    e0a700-1259de     dynamic G10 
  10.112.67.237    00be43-99c7d9     dynamic A3  
  10.112.67.238    e0a700-1259be     dynamic G9  
  10.112.67.243    e0a700-19d121     dynamic A6  
  10.112.67.245    e0a700-1259b0     dynamic G12 
  10.112.67.247    782bcb-18fb5a     dynamic G24 
  10.112.67.248    e0a700-125861     dynamic B2  
  10.112.67.250    e0a700-03436d     dynamic G4  
  10.112.67.252    e0a700-034366     dynamic G3  
  10.112.67.253    e0a700-034225     dynamic A2  
  10.112.68.0      e0a700-22381c     dynamic A2  
  10.112.68.2      e0a700-22af5e     dynamic B4  
  10.112.68.25     00c0b7-f4b43a     dynamic C4  
  10.112.68.30     6c2b59-ffbaa2     dynamic B7  
  10.112.68.31     e0a700-12583a     dynamic A2  
  10.112.68.34     000275-f8cc73     dynamic A3  
  10.112.68.36     e0a700-1259bb     dynamic A3  
  10.112.68.37     e0a700-1259ac     dynamic A3  
  10.112.68.38     e0a700-125863     dynamic A1  
  10.112.68.43     6c2b59-ffa844     dynamic A1  
  10.112.68.44     e0a700-235e7b     dynamic G15 
  10.112.68.45     e0a700-036c56     dynamic A5  
  10.112.68.47     e0a700-1258a0     dynamic B5  
  10.112.68.49     00e067-26656c     dynamic B2  
  10.112.68.52     00e097-1cafed     dynamic A1  
  10.112.68.53     dccd2f-3b8cea     dynamic B2  
  10.112.68.54     e0a700-1258a3     dynamic B5  
  10.112.68.58     6c02e0-6df744     dynamic A1  
  10.112.68.66     b82ca0-6c7138     dynamic A7  
  10.112.68.67     e0a700-223810     dynamic A1  
  10.112.68.72     282986-665af2     dynamic A6  
  10.112.68.76     00be43-99d165     dynamic A3  
  10.112.68.82     101eda-398efe     dynamic B7  
  10.112.68.84     e0a700-125a2d     dynamic A1  
  10.112.68.86     1458d0-3a1ff1     dynamic A5  
  10.112.68.105    282986-665af3     dynamic B7  
  10.112.68.112    e0a700-198c93     dynamic A2  
  10.112.68.113    e0a700-19cd6f     dynamic G6  
  10.112.68.114    e0a700-22370f     dynamic G16 
  10.112.68.116    e0a700-19443b     dynamic B1  
  10.112.69.20     000000-000000     dynamic
  10.112.69.24     f860f0-627900     dynamic B6  
  10.112.69.33     004096-30bf08     dynamic
  10.112.69.42     9c934e-a13e8d     dynamic A1  
  10.112.69.160    00184c-00188c     dynamic A5  
  10.112.69.161    00184c-001832     dynamic A5  
  10.112.71.246    0024a4-1a83f9     dynamic
  10.112.71.251    0024a4-1a87f1     dynamic B6  
  10.112.71.252    941882-b86d50     dynamic B2  
  10.112.74.1      c4f57c-544d3d     dynamic C10 
  10.112.74.2      00c0ff-27d686     dynamic C12 
  10.112.74.5      1c98ec-140730     dynamic C13 
  10.112.74.6      1c98ec-14a698     dynamic C15 
  10.112.74.7      1c98ec-14a69c     dynamic C16 
  10.112.74.9      1c98ec-26514e     dynamic C20 
  10.112.74.10     1c98ec-1fb3ee     dynamic C22 
  10.112.74.11     1c98ec-1fb3f0     dynamic C24 
  10.112.74.13     000c29-ef2f46     dynamic C13 
  10.112.74.15     1402ec-030c22     dynamic C6  
  10.112.23.1      005056-a3363c     dynamic C9  
  10.112.23.7      005056-a30718     dynamic C7  
  10.112.23.22     005056-a333f0     dynamic C7  
  10.112.23.24     005056-a34a60     dynamic C7  
  10.112.23.29     005056-a36ee5     dynamic C5  
  10.112.23.40     005056-a36c8b     dynamic C5  
  10.112.23.41     005056-a36061     dynamic C9  
  10.112.23.42     005056-a33405     dynamic C7  
  10.112.23.47     005056-a3076b     dynamic C5  
  10.112.23.55     005056-a35059     dynamic C9  
  10.112.23.80     005056-a36389     dynamic C5  
  10.112.23.83     005056-a31298     dynamic C7  
  10.112.23.185    1c98ec-300790     dynamic Trk1
  10.112.23.220    d4f5ef-1a3d30     dynamic B8  
  10.112.23.221    d4f5ef-1a3d30     dynamic B8  
  10.112.23.222    d4f5ef-1a0098     dynamic A8  
  10.112.23.223    d4f5ef-1a0098     dynamic A8  
  10.112.23.231    00155d-17dd00     dynamic B8  
  10.112.23.233    00155d-17e901     dynamic A8  
  10.112.23.241    000c29-d97dd1     dynamic C5  
  10.112.88.81     8a5920-42a507     dynamic G19 
  10.112.88.144    60a5e2-bad6e1     dynamic
  10.112.89.26     000275-fb38c9     dynamic
  10.112.89.31     b2382b-3f87a5     dynamic B7  
  10.112.89.55     a8be27-d0b8e4     dynamic
  10.112.89.119    ca31be-956ca2     dynamic B7  
  10.112.89.122    ee01a7-7c520b     dynamic
  10.112.89.125    5c60ba-e51db9     dynamic B7  
  10.112.89.148    d6471c-0dbd68     dynamic B7  
  10.112.89.157    fe7dde-40d46b     dynamic G19 
  10.112.89.197    000275-f8b247     dynamic
  10.112.89.222    ce4810-97f204     dynamic
  10.112.89.224    2a98b3-f0fe70     dynamic
  10.112.92.44     000275-f366f9     dynamic
  10.112.92.150    62393f-bff0bf     dynamic
  10.112.92.164    6a2ddc-60fe70     dynamic
  10.112.92.215    0e628e-9a8594     dynamic B7  
